model,locality,canonical,condition,speaker,ground_truth,hypothesis,wer,cer,entity_exact,entity_fuzzy,entity_ratio,latency_s,error
whisper-large-v3,Koramangala,Koramangala,quiet,self,haan main koramangala mein rehta hoon,हाँ मैं कोरा मंगला में रहता हूँ,1.167,0.865,False,False,0.0,4.671,
whisper-large-v3,Indiranagar,Indiranagar,quiet,self,mera ghar indiranagar ke paas hai,मेरा घर इंदरनगर के पास है,1.0,0.848,False,False,0.0,1.653,
whisper-large-v3,Whitefield,Whitefield,quiet,self,haan main whitefield se aata hoon,हाँ मैं वाइट फील्ड से आता हूँ,1.167,0.848,False,False,0.0,2.038,
whisper-large-v3,Electronic City,Electronic City,quiet,self,mera office electronic city mein hi hai,मेरा office electronic city में ही है,0.571,0.333,True,True,1.0,1.089,
whisper-large-v3,Marathahalli,Marathahalli,street_noise,self,marathahalli bridge ke paas drop karo,मार्था ली ब्रिज के पास रोक करो,1.167,0.865,False,False,0.0,5.215,
whisper-large-v3,Jayanagar,Jayanagar,street_noise,self,jayanagar mein ek room dhundh raha hoon,जयानगर में एक रूम ढूंढ रहा हूँ,1.0,0.846,False,False,0.0,4.229,
whisper-large-v3,Rajajinagar,Rajajinagar,street_noise,self,rajajinagar se bus pakadta hoon main,राजाजी नगर से बस पकरता हूँ ले,1.167,0.861,False,False,0.0,4.375,
whisper-large-v3,Hebbal,Hebbal,street_noise,self,hebbal flyover ke paas rehta hoon,हेबल लायोगर के पास रहता हूँ,1.0,0.848,False,False,0.0,4.525,
whisper-large-v3,Yelahanka,Yelahanka,background_noise,self,yelahanka new town mein shift hua hoon,कि यह लहंका न्यूटाउन में शिफ्ट हुआ है,1.143,0.921,False,False,0.0,4.315,
whisper-large-v3,Banashankari,Banashankari,background_noise,self,banashankari temple ke paas ghar hai mera,बनशंकरी टेंपल के पास घर है मेरा,1.0,0.854,False,False,0.0,3.366,
whisper-large-v3,HSR Layout,HSR Layout,rushed,self,hsr layout sector 2 mein hoon main abhi,एट्रेसर लेयाउट सेक्टर 2 में हूँ मैं अभी,0.875,0.897,False,False,0.0,6.223,
whisper-large-v3,BTM Layout,BTM Layout,rushed,self,btm layout first stage jaante ho,बीटीएम लेने वोट फर्स्ट है जानते हो?,1.167,1.031,False,False,0.0,2.147,
whisper-large-v3,Majestic,Majestic,whispered,self,majestic se bmtc leke jaata hoon,मैं जे स्टिक से BMTC लेकर जाता हूँ,1.333,0.969,False,False,0.375,1.864,
whisper-large-v3,Silk Board,Silk Board,whispered,self,silk board par traffic bahut hai,सिल्क बोर्ड पर ट्रैफिक बोर्थ,1.0,0.906,False,False,0.0,1.891,
whisper-large-v3,Bellandur,Bellandur,phone_quality,self,bellandur road pe flat liya hai,बेलेंडूल रोड पे फ्लाट लिया है,1.0,0.871,False,False,0.0,1.999,
whisper-large-v3,Sarjapur,Sarjapur,phone_quality,self,sarjapur road par kaam karta hoon,सरजापूर रोड पर काम करता हूँ,1.0,0.848,False,False,0.0,2.092,
whisper-large-v3,Bommanahalli,Bommanahalli,noisy_fast,self,bommanahalli se koramangala 20 min hai,बोमना अल्ली से कोरा मांगला 20 मिनट है,1.167,0.842,False,False,0.0,2.378,
whisper-large-v3,KR Puram,KR Puram,noisy_fast,self,kr puram railway station ke paas khada hoon jaldi aaja,के आरपुरम रेल वी सेशन के पास घड़ा हूँ जल्दी आजा,1.1,0.852,False,False,0.0,2.982,
whisper-large-v3,Peenya,Peenya,quiet_mumbled,self,peenya industrial area mein factory hai,पीन्य इंडस्ट्रेड एरिया में फैक्टरी है,1.0,0.897,False,False,0.0,2.286,
whisper-large-v3,Yeshwanthpur,Yeshwanthpur,quiet,self,yeshwanthpur se train pakadni hai mereko jaldi aa,यश्वन्त पुर से ट्रेन पगड़नी है मेरे को जल्दी है,1.25,0.878,False,False,0.0,2.737,
whisper-large-v3,Indiranagar_2,Indiranagar,street_noise,friend,mera ghar indiranagar ke paas hi hai,मेरा घर इंद्रा नगर के पास ही है,1.143,0.833,False,False,0.0,2.086,
whisper-large-v3,Bellandur_2,Bellandur,street_noise,friend,bellandur lake ke paas flat liya hai,बैलेंडूर लेक के पास फ्लैट लिया है,1.0,0.861,False,False,0.0,2.431,
whisper-large-v3,Sarjapur_2,Sarjapur,street_noise,self,sarjapur road pe khada hun jaldi aaja,कि सरजापुर रोड पर कड़ा हो जल्दी आजाओ अ,1.286,0.946,False,False,0.0,2.465,
whisper-large-v3,Yeshwanthpur_2,Yeshwanthpur,street_noise,self_modulated,yeshwantpur se train leni hai jaldi aa,कि यह शोट फोट से ट्रेन लेने जल्दी आप,1.286,0.921,False,False,0.0,2.215,
vakyansh,Koramangala,Koramangala,quiet,self,haan main koramangala mein rehta hoon,मैं   मेंरहता हूँ,1.0,0.892,False,False,0.0,1.096,
vakyansh,Indiranagar,Indiranagar,quiet,self,mera ghar indiranagar ke paas hai,मेरा घरइंद्र नगर के पास,1.0,0.909,False,False,0.0,0.179,
vakyansh,Whitefield,Whitefield,quiet,self,haan main whitefield se aata hoon,हां मैं फाइट फील्ड  आता हूं,1.0,0.848,False,False,0.0,0.257,
vakyansh,Electronic City,Electronic City,quiet,self,mera office electronic city mein hi hai,मेरा ऑफिस इलेक्ट्रॉनिक सिटी में हीहै,1.0,0.897,False,False,0.0,0.174,
vakyansh,Marathahalli,Marathahalli,street_noise,self,marathahalli bridge ke paas drop karo,मरथली  केपास जॉब करो,1.0,0.892,False,False,0.0,0.239,
vakyansh,Jayanagar,Jayanagar,street_noise,self,jayanagar mein ek room dhundh raha hoon,जयनगर,1.0,1.0,False,False,0.0,0.203,
vakyansh,Rajajinagar,Rajajinagar,street_noise,self,rajajinagar se bus pakadta hoon main,राजाजी नगर से बसपकड़ता हूं,1.0,0.917,False,False,0.0,0.209,
vakyansh,Hebbal,Hebbal,street_noise,self,hebbal flyover ke paas rehta hoon,,1.0,1.0,False,False,0.0,0.211,
vakyansh,Yelahanka,Yelahanka,background_noise,self,yelahanka new town mein shift hua hoon,में शिफ्ट,1.0,0.974,False,False,0.0,0.226,
vakyansh,Banashankari,Banashankari,background_noise,self,banashankari temple ke paas ghar hai mera,वशंकर  टेम्पल के पास घरमेरा,1.0,0.902,False,False,0.0,0.216,
vakyansh,HSR Layout,HSR Layout,rushed,self,hsr layout sector 2 mein hoon main abhi,,1.0,1.0,False,False,0.0,0.144,
vakyansh,BTM Layout,BTM Layout,rushed,self,btm layout first stage jaante ho,बीटी,1.0,1.0,False,False,0.0,0.164,
vakyansh,Majestic,Majestic,whispered,self,majestic se bmtc leke jaata hoon,मैजिस टरिक से बीएमटी सेले कर जाता,1.167,0.969,False,False,0.0,0.155,
vakyansh,Silk Board,Silk Board,whispered,self,silk board par traffic bahut hai,सिलरोड परट्रैफिक बहुत,1.0,0.938,False,False,0.0,0.165,
vakyansh,Bellandur,Bellandur,phone_quality,self,bellandur road pe flat liya hai,बैलडूल रोड पर फ्लैट लिए,1.0,0.871,False,False,0.0,0.162,
vakyansh,Sarjapur,Sarjapur,phone_quality,self,sarjapur road par kaam karta hoon,सरजपुर रोड पर काम करता हूं,1.0,0.848,False,False,0.0,0.144,
vakyansh,Bommanahalli,Bommanahalli,noisy_fast,self,bommanahalli se koramangala 20 min hai,,1.0,1.0,False,False,0.0,0.144,
vakyansh,KR Puram,KR Puram,noisy_fast,self,kr puram railway station ke paas khada hoon jaldi aaja,केरपुर  रेलवे स्टेशन के पास  जल्दी आजा,1.0,0.87,False,False,0.0,0.186,
vakyansh,Peenya,Peenya,quiet_mumbled,self,peenya industrial area mein factory hai,इंस्ट्रिय एरिया में फैक्टरी,1.0,0.949,False,False,0.0,0.148,
vakyansh,Yeshwanthpur,Yeshwanthpur,quiet,self,yeshwanthpur se train pakadni hai mereko jaldi aa,यट्रेन  नहीं  मेरेको जल्द,1.0,0.898,False,False,0.0,0.182,
vakyansh,Indiranagar_2,Indiranagar,street_noise,friend,mera ghar indiranagar ke paas hi hai,मेरा घर इंद्रा नगर के पास ही है,1.143,0.833,False,False,0.0,0.137,
vakyansh,Bellandur_2,Bellandur,street_noise,friend,bellandur lake ke paas flat liya hai,बैलडू लेके पास फ्लैट लीहै,1.0,0.917,False,False,0.0,0.154,
vakyansh,Sarjapur_2,Sarjapur,street_noise,self,sarjapur road pe khada hun jaldi aaja,सरजापुर   खड़जल,1.0,0.919,False,False,0.0,0.182,
vakyansh,Yeshwanthpur_2,Yeshwanthpur,street_noise,self_modulated,yeshwantpur se train leni hai jaldi aa,,1.0,1.0,False,False,0.0,0.164,
